"","X","Gp","Ep","Sp","ESGIp","spreads","country","year","real_interest_rate","yearQ","quarter","total_debt","debt_to_GDP","fx","nonbank_domestic_debt","bank_domestic_debt","official_domestic_debt","domestic_debt","nonbank_foreign_debt","bank_foreign_debt","official_foreign_debt","foreign_debt","woe_country_code","GDP_cte","GDP_cur","GDP_per_cap_cte","inflation_mean","inflation_end","unemployment","lending_borroeing_rate","account_balance","develop","ln_GDP_cte","ln_GDP_cur","ln_GDP_per_cap_cte","taxes","vix_EUA","vix_EUR","Scale","nominal_rate","GDP_per_cap_cur_USD","ln_GDP_per_cap_cur","yearnum","post_08","post_09","post_15","post_16","post_17","ticker","fx_volatility","less_20","bet_20_40","bet_40_60","bet_60_80","bet_80_100","more_100","fx_return","int_liq"
"1","Australia-2004",93.8742774005354,0,77.4183871053635,86.583749330549,1.1118,"Australia","2004",3.619128093,"2004Q4",4,92.8705,10.70057904,0.735373816,55.8475,4.249,65.28025,65.28025,6.69,1.5705,19.32975,27.59025,193,4117,689197,2980,2.278,2.513,5.392,1.327,-6.321,"AM",8.322880022,13.44328243,7.999678579,63.29733753,15.45679389,18.88629771,"Units",5.25,30430.67644,10.32320647,2004,"NO","NO","NO","NO","NO","2",0,"YES","NO","NO","NO","NO","NO",NA,NA
"2","Australia-2005",91.6216699477398,0.753457154607992,78.3589383343126,85.048781838395,0.8089,"Australia","2005",3.334521094,"2005Q4",4,90.82525,9.745185063,0.757701684,50.984,3.32575,59.59875,59.59875,10.65775,2.27575,18.29325,31.2265,193,3029,732189,1682,2.722,2.819,5.042,1.712,-5.948,"AM",8.015987811,13.50379396,7.427738841,65.00733117,12.77984615,14.031135,"Units",5.5,33999.24286,10.43409353,2005,"NO","NO","NO","NO","NO","2",0,"YES","NO","NO","NO","NO","NO",NA,NA
"3","Australia-2006",91.6015867154179,1.08580992751093,79.3731533300907,85.2615437028939,1.1798,"Australia","2006",2.39807602,"2006Q4",4,88.19275,8.75866987,0.749625929,45.80475,2.903,56.41125,56.41125,3.9015,2.16125,25.71875,31.7815,193,2707,774765,1133,3.523,3.337,4.792,1.776,-5.869,"AM",7.90359629,13.56031504,7.032624261,65.23204592,12.78038462,16.52674885,"Units",6.25,36044.92281,10.4925213,2006,"NO","NO","NO","NO","NO","2",0.070974387,"YES","NO","NO","NO","NO","NO",0.029467887,NA
"4","Australia-2007",92.6471961910249,0.695289853672933,80.0727755892297,86.1963750732108,2.3028,"Australia","2007",3.032237433,"2007Q4",4,89.89225,8.192059361,0.854999855,48.1665,3.62525,56.24675,56.24675,1.0305,2.591,30.02425,33.6455,193,4427,830802,2497,2.356,2.999,4.375,1.478,-6.718,"AM",8.395477433,13.63014678,7.82284529,65.69041001,17.45256705,19.61442874,"Units",6.75,40960.05449,10.62035259,2007,"NO","NO","NO","NO","NO","2",0.058049442,"YES","NO","NO","NO","NO","NO",-0.010773046,NA
"5","Australia-2008",93.2710958711589,0.626584227870513,80.3570505292387,86.7411793710521,1.7797,"Australia","2008",4.192998028,"2008Q4",4,110.1785,9.21379694,0.843250705,58.6275,9.83375,69.56775,69.56775,6.56525,3.45575,30.59,40.61075,193,2666,869539,0.469,4.348,3.695,4.25,-1.102,-4.738,"AM",7.888334501,13.67571847,-0.757152511,66.28254918,32.58267176,33.70876145,"Units",4.25,49601.65671,10.81177951,2008,"YES","NO","NO","NO","NO","2",0.180328137,"YES","NO","NO","NO","NO","NO",0.123244378,NA
"6","Australia-2009",92.8480655761456,0.598876941978429,80.1715184614427,86.3671285366976,1.8072,"Australia","2009",0.97041642,"2009Q4",4,164.0795,13.03333691,0.818925657,77.00825,23.9885,103.3955,103.3955,13.85325,3.596,43.235,60.684,193,1880,892644,0.063,1.77,2.052,5.575,-4.572,-4.662,"AM",7.539027056,13.70194312,-2.764620553,64.95107544,31.59849421,33.63477761,"Units",3.75,42772.35917,10.66364736,2009,"YES","YES","NO","NO","NO","2",0.157742108,"YES","NO","NO","NO","NO","NO",-0.013933163,NA
"7","Australia-2010",92.9737558893001,2.04921422874084,80.0403990591569,86.5593764852049,2.2515,"Australia","2010",6.041415743,"2010Q4",4,224.7945,17.05773306,0.937799396,88.99025,24.239,119.13875,119.13875,32.985,5.33025,67.34025,105.65575,193,2361,924365,0.944,2.863,2.646,5.208,-5.127,-3.653,"AM",7.766840537,13.73686229,-0.057629113,61.29695433,22.49457831,26.36127149,"Units",4.75,52022.1256,10.8594244,2010,"YES","YES","NO","NO","NO","2",0.056688372,"YES","NO","NO","NO","NO","NO",-0.02970361,NA
"8","Australia-2011",93.904641849731,3.82196048831643,80.4711984898223,87.5271450472402,1.7918,"Australia","2011",1.397395241,"2011Q4",4,290.7385,20.31566141,1.025248527,112.18225,27.39175,145.85425,145.85425,43.94575,5.38475,95.55375,144.88425,193,2842,970492,1245,3.33,2.99,5.083,-4.531,-3.077,"AM",7.952263309,13.78555844,7.126890809,63.36593481,24.20257937,30.07789683,"Units",4.25,62517.83375,11.04320713,2011,"YES","YES","NO","NO","NO","2",0.031094638,"NO","YES","NO","NO","NO","NO",0.126758174,NA
"9","Australia-2012",93.6889531408121,4.26976898092133,80.4665237687347,87.3921202335695,1.5156,"Australia","2012",5.025178277,"2012Q4",4,356.739,23.76092209,1.036548784,135.3545,25.85825,175.8365,175.8365,60.2555,4.949,115.69825,180.9025,193,3800,1026.695,1963,1.712,2.102,5.225,-3.511,-4.296,"AM",8.242756346,6.934100184,7.582229194,65.52605061,17.8154902,24.58428549,"Units",3,68012.1479,11.12744161,2012,"YES","YES","NO","NO","NO","2",0.021730311,"NO","YES","NO","NO","NO","NO",0.085295544,NA
"10","Australia-2013",93.202661189314,7.03635534928101,80.8712678871157,87.3140646927543,1.2068,"Australia","2013",6.311181032,"2013Q4",4,404.52,26.16836012,0.946724246,152.94825,44.34925,216.3245,216.3245,19.02925,3.8325,165.33325,188.1955,193,2127,1066.93,0.506,2.475,2.745,5.658,-2.813,-3.383,"AM",7.662467815,6.972540645,-0.68121861,64.21511088,14.22903101,18.53333062,"Units",2.5,68150.10704,11.12946801,2013,"YES","YES","NO","NO","NO","2",0.05939249,"NO","YES","NO","NO","NO","NO",0.010901809,49744.61343
